device: 57U7N17719006449 | state:  -> com.google.android.youtube | date of removal: 2023-08-23 17:11:21.241982
device: 57U7N17719006449 | state:  -> com.google.android.youtube | date of removal: 2023-08-23 17:11:49.406617
device: 57U7N17719006449 | state:  -> com.google.android.youtube | date of removal: 2023-08-23 17:11:50.642477
device: 57U7N17719006449 | state:  -> com.google.android.youtube | date of removal: 2023-08-23 17:11:51.245506
device: 57U7N17719006449 | state:  -> com.google.android.youtube | date of removal: 2023-08-23 17:21:07.847794
device: 57U7N17719006449 | state:  -> com.google.android.youtube | date of removal: 2023-08-23 17:21:14.277067
device: 57U7N17719006449 | state:  -> com.google.android.youtube | date of removal: 2023-08-23 17:27:35.964679
device: 57U7N17719006449 | state:  -> com.google.android.youtube | date of removal: 2023-08-23 17:28:58.860343
device: 57U7N17719006449 | state:  -> com.google.android.youtube | date of removal: 2023-08-23 17:29:00.678494
device: 57U7N17719006449 | state:  -> com.google.android.youtube | date of removal: 2023-08-23 17:29:01.182412
device: 57U7N17719006449 | state:  -> com.google.android.youtube | date of removal: 2023-08-23 17:29:01.451272
device: 57U7N17719006449 | state:  -> com.google.android.youtube | date of removal: 2023-08-23 17:29:01.559651
device: 57U7N17719006449 | state:  -> com.google.android.youtube | date of removal: 2023-08-23 17:40:52.409508
device: FPMNW19510002911 | state:  -> com.google.android.youtube | date of removal: 2023-08-23 17:41:38.124166
